2015-04-15 14:00:16,943 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10705 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10705 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:16,943 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:16,971 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10706 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10706 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:16,972 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:16,972 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10707 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10707 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:16,972 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:17,013 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10708 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10708 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:17,013 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:17,013 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10709 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10709 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:17,014 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:17,039 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10710 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10710 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:17,039 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:17,039 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10711 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10711 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:17,040 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:17,055 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10712 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10712 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:17,055 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:17,960 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10713 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10713 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:17,960 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:17,988 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10714 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10714 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:17,988 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:17,988 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10715 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10715 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:17,988 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:18,014 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10716 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10716 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:18,015 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:18,015 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10717 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10717 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:18,015 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:18,042 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10718 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10718 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:18,043 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:18,043 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10719 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10719 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:18,043 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:18,066 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10720 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10720 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:18,066 | TRACE | Sending 30 bytes out | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
2015-04-15 14:00:18,943 | TRACE | Inbound Message:ID:scotts-imac-63380-1429129843843-2:3:0:0:10721 from Producer:ID:scotts-imac-63380-1429129843843-2:3:0:0:10721 | org.apache.activemq.transport.amqp.AmqpProtocolConverter | ActiveMQ Transport: tcp:///192.168.1.22:33075@5672
